
HBOR3;HELBOR;2,96;10,42;0,30;3,11;0,1807;9,72;0,28
HBTS5;HABITASUL;52,00;63,34;11,68;5,57;1,4067;4,45;0,82
HBRE3;HBR REALTY EMPREENDIMENTOS IMOBILIARIOS;5,14;18,50;0,51;-;;10,04;0,28
HBSA3;HIDROVIAS DO BRASIL S.A.;3,40;2,09;0,07;-;;48,69;1,63
HETA3;HERCULES;96,00;-690,16;405,13;-;0,0000;0,24;-0,14
HETA4;HERCULES;6,35;-690,16;405,13;-;0,0000;0,02;-0,01
HOOT3;HOTEIS OTHON S.A.;0,00;-11,37;6,88;-;;0,00;0,00
HOOT4;HOTEIS OTHON S.A.;2,70;-11,37;6,88;-;;0,39;-0,24
IGTI3;JEREISSATI;2,66;3,39;0,23;1,92;0,0488;11,97;0,80
IFCM3;INFRACOMMERCE CXAAS S.A.;1,80;3,53;-0,66;-;;-2,71;0,51
HYPE3;HYPERA;33,95;17,98;2,79;3,60;0,9242;12,25;1,90
IGSN3;IGUA SANEAMENTO S.A.;0,00;6,26;-1,12;-;;0,00;0,00
INEP3;INEPAR;4,42;-41,59;-8,45;-;0,0000;-0,52;-0,11
INTB3;INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA;19,65;7,53;1,59;2,08;0,3649;12,29;2,59
INEP4;INEPAR;3,21;-41,59;-8,45;-;0,0000;-0,38;-0,08
IGTI4;JEREISSATI;9,42;3,39;0,23;1,67;0,1463;41,46;2,78
INNT3;INTER CONSTRUTORA E INCORPORADORA S.A.;0,00;1,94;0,48;-;;0,00;0,00
ITUB3;BANCO ITAU UNIBANCO;25,68;18,73;3,25;5,82;0,4967;7,92;1,37
ITSA4;ITAUSA;9,85;8,22;1,42;7,53;0,4050;6,93;1,20
ITSA3;ITAUSA;9,94;8,22;1,42;7,47;0,4050;6,98;1,21
IRBR3;IRB;42,92;50,69;0,46;-;0,0000;93,75;0,85
ITUB4;BANCO ITAU UNIBANCO;30,48;18,73;3,25;4,91;0,4967;9,38;1,63
JALL3;JALLES MACHADO S.A.;8,25;6,58;2,08;5,36;0,1779;3,97;1,25
JBSS3;JBS;21,72;18,92;0,54;4,61;2,0000;39,91;1,15
JFEN3;JOÃO FORTES ENGENHARIA;2,10;-32,50;-2,09;-;0,0000;-1,00;-0,06
JOPA3;JOSAPAR;22,00;53,92;0,64;3,73;0,8270;34,37;0,41
JHSF3;JHSF;4,41;7,42;0,58;10,60;0,2086;7,59;0,60
KEPL3;KEPLER WEBER;11,28;3,79;1,47;10,09;0,6060;7,67;2,97
JSLG3;JSL S.A.;9,14;5,88;1,30;2,58;0,2161;7,04;1,56
